M(z=0.0) M/M0(z=0.27) M/M0(z=0.62) M/M0(z=1.0) M/M0(z=1.74) M/M0(z=2.48) M/M0(z=3.98) M/M0(z=5.49) res_star M_star ExpFit

11.492175 2.7878494 0.14075184 0.09667778 0.003077507 -0.060943604 -0.37461185 -0.4276018 0.57869244 9.978443 9.399751
11.448165 2.9414606 0.36198807 0.2973566 0.15879345 0.029453278 -0.300354 -0.62988186 0.87007236 10.2098055 9.339733
11.484532 0.04921055 0.3274269 0.24993515 0.050480843 -0.042913437 -0.29606628 -0.9753237 0.8542547 10.243649 9.389394
11.4339075 2.5423937 0.34196186 0.33763027 -0.011632919 -0.14804554 -0.32800865 -0.8872328 0.729681 10.049773 9.320092
11.408492 2.4190235 0.15402126 0.08786106 -0.28087044 -0.38887787 -0.91104126 -1.094101 0.39622402 9.681061 9.284837
11.4652 2.147048 1.8748274 0.11376953 -0.20573235 -0.8879862 -1.8480864 -2.307479 0.5817747 9.944848 9.363073
11.414188 1.93052 1.9069757 0.2397871 0.10872078 0.061980247 -0.4172659 -0.87887 0.8896923 10.182457 9.292765
11.404338 1.3898096 0.19557476 0.18206215 -0.1054306 -0.18925476 -0.60633373 -0.88157845 0.5500698 9.829115 9.279045
11.423878 0.5605917 0.07036686 -0.056877136 -0.12625217 -0.10254192 -0.7096615 -0.9916296 0.3752365 9.681453 9.306216
11.4351015 0.08143711 -0.27922535 -0.27392006 -0.46806335 -0.5848503 -1.1315002 -1.390213 -0.4351492 8.886591 9.32174
11.444141 -0.11114025 -0.28987408 -0.32570267 -0.6015034 -0.6354523 -1.1244535 -1.3211241 -0.2697916 9.064408 9.3342
11.494917 -0.09547043 -0.02785492 -0.15631294 -0.368227 -0.6956425 -0.97335815 -1.4112654 0.044402122 9.447862 9.40346
11.474345 0.044711113 -0.014830589 -0.24965763 -0.867856 -0.8656368 -1.1618958 -1.6397476 0.34211922 9.717665 9.3755455
11.464154 -0.45035744 -0.5875664 -0.6238909 -0.74200344 -1.0536776 -1.7061138 -2.064887 -0.48501778 8.876626 9.361644
11.426673 -0.06948185 -0.14554405 -0.22381687 -0.30088043 -0.5788269 -0.7964878 -1.0448847 -0.012545586 9.297543 9.310088
11.416741 -0.02312851 -0.05208683 -0.1721201 -0.22778988 -0.35771465 -0.90985966 -1.3098259 0.28646564 9.58278 9.296314
11.477983 -0.06599522 -0.095760345 -0.24855709 -0.39433193 -0.520977 -1.1580563 -1.6500168 0.19749355 9.5779915 9.380498
11.454387 -0.05743599 0.019069672 -0.48412704 -0.67209435 -0.858408 -1.0288372 -1.3015575 -0.1970377 9.151237 9.348274
11.442161 0.062257767 -0.3982191 -0.4599228 -0.5638504 -0.62532234 -0.96855354 -1.2023726 -0.11410713 9.217366 9.331473
11.450119 -0.009422302 -0.166852 -0.18758297 -0.5674019 -1.0882778 -1.6147909 -2.3807077 0.16466045 9.507077 9.342417
11.464891 -0.08884525 -0.14525127 -0.18019485 -0.40425396 -0.44024563 -1.0789757 -1.2610655 -0.3110628 9.051588 9.362651
11.44095 -0.04076767 -0.08178806 -0.4499035 -0.52955437 -0.6475849 -0.79097176 -1.0762959 -0.038905144 9.290901 9.329806
11.443333 0.10790062 -0.13127327 -0.12809467 -0.6062565 -0.78274727 -0.9759817 -1.1301537 0.16505337 9.49814 9.333087
11.428092 0.002954483 -0.0308609 -0.13972855 -0.17066288 -0.5710535 -1.1053047 -1.5686302 0.08710575 9.399158 9.312052
11.449143 -0.01687622 0.03926754 -0.41129494 -0.6089525 -0.71706676 -1.0342236 -1.9229498 0.042172432 9.383249 9.341077
11.489205 0.020868301 -0.13569546 -0.2088623 -0.30509853 -0.7476053 -1.4240732 -1.8474693 -0.014760017 9.380969 9.395729
11.498308 0.007390976 0.34170246 -0.0035829544 -0.27783966 -0.40742397 -0.6769991 -1.1319304 0.24288845 9.6509285 9.40804
11.40054 0.030042648 -0.0269804 -0.15447044 -0.3173418 -0.48621368 -0.9287834 -1.4989958 0.09529495 9.369038 9.273743
11.477818 0.08476448 -0.089463234 -0.19079304 -0.30736065 -0.3294382 -0.7320709 -1.244112 0.007577896 9.38785 9.380272
11.450933 -0.002465248 -0.004105568 -0.4537592 -0.577878 -0.8516741 -1.1185131 -1.414691 -0.08027172 9.263264 9.343535
11.447239 -0.032684326 -0.08831692 -0.19416714 -0.28526497 -0.3922863 -1.1301908 -1.6927013 0.18398094 9.522442 9.338461
11.4580555 -0.0867424 -0.118925095 -0.19740677 -0.29832363 -0.50592995 -1.078764 -1.3670492 -0.32235432 9.030947 9.353301
11.476018 -0.047571182 -0.06664848 -0.27116203 -0.57869244 -0.9382305 -1.3165636 -1.7136393 0.01402092 9.391845 9.377824
11.46844 0.0077619553 -0.037338257 -0.11657143 -0.16312885 -0.57755375 -0.80329514 -1.064023 -0.06754112 9.299955 9.3674965
11.405655 -0.09044075 -0.17862129 -0.21702671 -0.5099144 -0.5925646 -0.8490219 -0.991312 0.08456802 9.36545 9.280882
11.499764 -0.03941822 -0.016510963 -0.052168846 -0.4275093 -0.7397232 -1.2692785 -1.3529501 0.2649231 9.674929 9.410006
11.445702 -0.05075836 -0.059087753 -0.19957542 -0.28026676 -0.6391134 -1.1524029 -1.9852171 -0.14115524 9.19519 9.336346
11.456801 -0.10738373 -0.047646523 -0.28261566 -0.5853548 -0.5751982 -1.0299416 -1.1209097 0.081196785 9.43278 9.3515835
11.486492 -0.18585587 -0.1673069 -0.6027937 -0.63567734 -0.8340597 -1.6403513 -1.8203764 -0.22951221 9.16254 9.392053
11.474564 -0.072060585 -0.039535522 -0.24862671 -0.36503887 -0.65757275 -1.3835573 -2.132719 -0.1520052 9.223838 9.375843
11.451004 -0.1521473 -0.24633503 -0.30701256 -0.44246483 -0.53117466 -0.97122955 -1.6903553 0.055221558 9.398853 9.343632
11.469458 -0.1137619 -0.15281963 -0.27908516 -0.5667238 -0.63831043 -1.3180361 -1.4731388 -0.20643997 9.162445 9.368885
11.41069 0.06405735 -0.05706978 -0.17961788 -0.29618645 -0.7004471 -0.7554865 -1.4588995 0.258811 9.546709 9.287898
11.443278 -0.13388062 -0.092432976 -0.35194874 -0.4743576 -0.9541702 -1.6590118 -1.9306812 -0.1270647 9.205947 9.333012
11.49293 -0.08523846 -0.117978096 -0.18123627 -0.41571236 -0.638958 -1.1768465 -1.436923 -0.15094948 9.249822 9.400771
11.472094 0.019517899 -0.036919594 -0.22650623 -0.53247356 -0.7556639 -1.706275 -1.8862381 -0.1080637 9.264415 9.3724785
11.441493 -0.049943924 -0.10431194 -0.21520042 -0.39606476 -0.41628075 -1.1577053 -1.8078108 -0.15433407 9.17622 9.330554
